,Proposta,Temas,Ementa,Ano,Autor(es),Cargo,Partido,Link
14,VET 1/2011,,"Veto Parcial aposto ao Projeto de Lei da Câmara nº 18, de 2000 (nº 1.176/1995, na Casa de origem), que ""Dispõe sobre o Sistema Nacional de Viação - SNV; altera a Lei nº 9.432, de 8 de janeiro de 1997; revoga as Leis nºs 5.917, de 10 de setembro de 1973, 6.346, de 6 de julho de 1976, 6.504, de 13 de dezembro de 1977, 6.555, de 22 de agosto de 1978, 6.574, de 30 de setembro de 1978, 6.630, de 16 de abril de 1979, 6.648, de 16 de maio de 1979, 6.671, de 4 de julho de 1979, 6.776, de 30 de abril de 1980, 6.933, de 13 de julho de 1980, 6.976, de 14 de dezembro de 1980, 7.003, de 24 de junho de 1982, 7.436, de 20 de dezembro de 1985, 7.581, de 24 de dezembro de 1986, 9.060, de 14 de junho de 1995, 9.078, de 11 de julho de 1995, 9.830, de 2 de setembro de 1999, 9.852, de 27 de outubro de 1999, 10.030, de 20 de outubro de 2000, 10.031, de 20 de outubro de 2000, 10.540, de 1º de outubro de 2002, 10.606, de 19 de dezembro de 2002, 10.680, de 23 de maio de 2003, 10.739, de 24 de setembro de 2003, 10.789, de 28 de novembro de 2003, 10.960, de 7 de outubro de 2004, 11.003, de 16 de dezembro de 2004, 11.122, de 31 de maio de 2005, 11.475, de 29 de maio de 2007, 11.550, de 19 de novembro de 2007, 11.701, de 18 de junho de 2008, 11.729, de 24 de junho de 2008, e 11.731, de 24 de junho de 2008; revoga dispositivos das Leis nºs 6.261, de 14 de novembro de 1975, 6.406, de 21 de março de 1977, 11.297, de 9 de maio de 2006, 11.314, de 3 de julho de 2006, 11.482, de 31 de maio de 2007, 11.518, de 5 de setembro de 2007, e 11.772, de 17 de setembro de 2008; e dá outras providências"".",2011,,,,http://legis.senado.leg.br/dadosabertos/materia/textos/98814
15,PDS 30/2011,,"Aprova o ato que outorga permissão ao SISTEMA DE COMUNICAÇÃO SOL LTDA. para explorar serviço de radiodifusão sonora em frequência modulada na cidade de Apuí, Estado do Amazonas.",2011,,,,http://legis.senado.leg.br/dadosabertos/materia/textos/98891
16,VET 7/2011,,"Veto Parcial aposto ao Projeto de Lei de Conversão nº 15, de 2010 (oriundo da Medida Provisória nº 501/2010), que ""Dispõe sobre a prestação de auxílio financeiro pela União aos Estados, ao Distrito Federal e aos Municípios, no exercício de 2010, com o objetivo de fomentar as exportações do País; altera as Leis nºs 12.087, de 11 de novembro de 2009, 10.260, de 12 de julho de 2001, 8.685, de 20 de julho de 1993, 3.890-A, de 25 de abril de 1961, 10.848, de 15 de março de 2004, 12.111, de 9 de dezembro de 2009, e 12.249, de 11 de junho de 2010; modifica condições para a concessão da subvenção em operações de financiamento de que trata o art. 1º da Lei nº 12.096, de 24 de novembro de 2009; revoga dispositivo da Lei nº 12.096, de 24 de novembro de 2009; e dá outras providências"".",2011,,,,http://legis.senado.leg.br/dadosabertos/materia/textos/99353
17,VET 8/2011,,"Veto Parcial aposto ao Projeto de Lei de Conversão nº 1, de 2011 (oriundo da Medida Provisória nº 502/2010), que ""Altera as Leis nºs 9.615, de 24 de março de 1998, que institui normas gerais sobre desporto, e 10.891, de 09 de julho de 2004, que institui a Bolsa-Atleta; cria os Programas Atleta Pódio e Cidade Esportiva; revoga a Lei nº 6.354, de 02 de setembro de 1976; e dá outras providencias"".",2011,,,,http://legis.senado.leg.br/dadosabertos/materia/textos/99443
18,VET 13/2011,,"Veto Parcial aposto ao Projeto de Lei de Conversão n° 9, de 2011 (oriundo da Medida Provisória nº 513/2010), que ""Autoriza o Fundo de Compensação de Variações Salariais - FCVS, a assumir, na forma disciplinada em ato do Conselho Curador do Fundo de Compensação de Variações Salariais - CCFCVS, direitos e obrigações do Seguro Habitacional do Sistema Financeiro da Habitação - SH/SFH; oferecer cobertura direta a contratos de financiamento habitacional averbados na Apólice do SH/SFH; autoriza o Departamento Nacional de Infraestrutura de Transporte - DNIT a autorizar recursos federais em apoio à transferência definitiva do domínio da malha rodoviária federal para os Estados; altera o Anexo do Plano Nacional de Viação aprovado pela Lei nº 5.917, de 10 de setembro de 1973, e as Leis nºs 12.249, de 11 de junho de 2010, 11.887, de 24 de dezembro de 2008, 11.079, de 30 de dezembro de 2004, e 11.314, de 3 de julho de 2006; revoga a Medida Provisória nº 523, de 20 de janeiro de 2011; e dá outras providências"".",2011,,,,http://legis.senado.leg.br/dadosabertos/materia/textos/100397
19,VET 23/2011,,"Veto Parcial aposto ao Projeto de Lei de Conversão nº 18, de 2011 (oriundo da Medida Provisória nº 528/2011), que ""Altera os valores constantes da tabela do Imposto sobre a Renda da Pessoa Física e altera as Leis nºs 11.482, de 31 de maio de 2007, 7.713, de 22 de dezembro de 1988, 9.250, de 26 de dezembro de 1995, 9.656, de 3 de junho de 1998, e 10.480, de 2 de julho de 2002"".",2011,,,,http://legis.senado.leg.br/dadosabertos/materia/textos/101799
20,VET 30/2011,,"Veto Parcial aposto ao Projeto de Lei da Câmara nº 77, de 2011 - Complementar (nº 87/2011 - Complementar, na Casa de origem), que ""Altera dispositivos da Lei Complementar nº 123, de 14 de dezembro de 2006, e dá outras providências"".",2011,,,,http://legis.senado.leg.br/dadosabertos/materia/textos/103226
21,VET 33/2011,,"Veto Parcial aposto ao Projeto de Lei da Câmara nº 6, de 2009 (nº 3.937/2004, na Casa de origem), que ""Estrutura o Sistema Brasileiro de Defesa da Concorrência; dispõe sobre a prevenção e repressão às infrações contra a ordem econômica; altera a Lei nº 8.137, de 27 de dezembro de 1990, o Decreto-Lei nº 3.689, de 3 de outubro de 1941 - Código de Processo Penal, e a Lei nº 7.347, de 24 de julho de 1985; revoga dispositivos da Lei nº 8.884, de 11 de junho de 1994, e a Lei nº 9.781, de 19 de janeiro de 1999; e dá outras providências"".",2011,,,,http://legis.senado.leg.br/dadosabertos/materia/textos/103511
22,VET 35/2011,,"Veto Parcial aposto ao Projeto de Lei de Conversão nº 29, de 2011 (oriundo da Medida Provisória nº 540/2011), que ""Institui o Regime Especial de Reintegração de Valores Tributários para as Empresas Exportadoras (Reintegra); dispõe sobre a redução do imposto sobre Produtos Industrializados (IPI) à indústria automotiva; altera a incidência das contribuições previdenciárias devidas pelas empresas que menciona; altera as Leis nºs 11.774, de 17 de setembro de 2008, nº 11.033, de 21 de dezembro de 2004, nº 11.196, de 21 de novembro de 2005, nº 10.865, de 30 abril de 2004, nº 11.508, de 20 de julho de 2007, nº 7.291, de 19 de dezembro de 1984, nº 11.491, de 20 de junho de 2007, nº 9.782, de 26 de janeiro de 1999, e nº 9.294, de 15 de julho de 1996, e a Medida Provisória nº 2.199-14, de 24 de agosto de 2001; revoga o art. 1º da Lei nº 11.529, de 22 de outubro de 2007, e o art. 6º do Decreto-Lei nº 1.593, de 21 de dezembro de 1977, nos termos que especifica; e dá outras providências"".",2011,,,,http://legis.senado.leg.br/dadosabertos/materia/textos/103773
23,VET 36/2011,,"Veto Parcial aposto ao Projeto de Lei da Câmara nº 79, de 2011 (nº 1.749/2011, na Casa de origem), que ""Autoriza o Poder Executivo a criar a empresa pública denominada Empresa Brasileira de Serviços Hospitalares - EBSERH; acrescenta dispositivos ao Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal; e dá outras providências"".",2011,,,,http://legis.senado.leg.br/dadosabertos/materia/textos/103785
24,VET 3/2012,,"Veto Parcial aposto ao Projeto de Lei do Senado nº 121, de 2007 - Complementar (nº 306/2008 - Complementar na Câmara dos Deputados), que ""Regulamenta o § 3º do art. 198 da Constituição Federal para dispor sobre os valores mínimos a serem aplicados anualmente pela União, Estados, Distrito Federal e Municípios em ações e serviços públicos de saúde; estabelece os critérios de rateio dos recursos de transferências para a saúde e as normas de fiscalização, avaliação e controle das despesas com saúde nas 3 (três) esferas de governo; revoga dispositivos das Leis nºs 8.080, de 19 de setembro de 1990, e 8.689, de 27 de julho de 1993; e dá outras providências"".",2012,,,,http://legis.senado.leg.br/dadosabertos/materia/textos/103961
25,VET 4/2012,,"Veto Parcial aposto ao Projeto de Lei do Senado nº 290, de 2001 (nº 6.906/2002, na Câmara dos Deputados), que ""Reconhece a profissão de Turismólogo e disciplina o seu exercício"".",2012,,,,http://legis.senado.leg.br/dadosabertos/materia/textos/103999
26,VET 7/2012,,"Veto Parcial aposto ao Projeto de Lei da Câmara nº 134, de 2009 (nº 1.627/2007, na Casa de origem), que ""Institui o Sistema Nacional de Atendimento Socioeducativo (Sinase), regulamenta a execução das medidas socioeducativas destinadas a adolescente que pratique ato infracional; e altera as Leis nºs 8.069, de 13 de julho de 1990 (Estatuto da Criança e do Adolescente); 7.560, de 19 de dezembro de 1986, 7.998, de 11 de janeiro de 1990, 5.537, de 21 de novembro de 1968, 8.315, de 23 de dezembro de 1991, 8.706, de 14 de setembro de 1993, os Decretos-Leis nºs 4.048, de 22 de janeiro de 1942, 8.621, de 10 de janeiro de 1946, e a Consolidação das Leis do Trabalho (CLT), aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943"".",2012,,,,http://legis.senado.leg.br/dadosabertos/materia/textos/104000
27,VET 5/2012,,"Veto Parcial aposto ao Projeto de Lei da Câmara nº 112, de 2007 (nº 6.846/2002, na Casa de origem), que ""Dispõe sobre o exercício das atividades profissionais de Cabeleireiro, Barbeiro, Esteticista, Manicure, Pedicure, Depilador e Maquiador"".",2012,,,,http://legis.senado.leg.br/dadosabertos/materia/textos/104002
28,AVN 8/2012,,"Encaminha ao Congresso Nacional, em cumprimento ao disposto no art. 56, caput, e § 2º, da Lei Complementar nº101, de 4 de maio de 2000 (Lei de Responsabilidade Fiscal) e no art. 101 da Lei nº 12.309, de 9 de agosto de 2010 (LDO para 2011), a Prestação de Contas do Tribunal de Contas da União relativa ao exercício de 2011, composta pelo relatório de gestão e pelos relatórios descritivos e sintéticos dos programas e ações desenvolvidas ao longo do exercício.",2012,,,,http://legis.senado.leg.br/dadosabertos/materia/textos/105271
29,VET 15/2012,,"Veto Parcial aposto ao Projeto de Lei de Conversão nº 7, de 2012 (oriundo da Medida Provisória nº 549/2011), que ""Reduz a zero as alíquotas da Contribuição para o PIS/PASEP, da Contribuição para o Financiamento da Seguridade Social (Cofins), da Contribuição para o PIS/PASEP - Importação e da Cofins - Importação incidentes sobre a importação e a receita de venda no mercado interno dos produtos que menciona; altera as Leis nºs 10.865, de 30 de abril de 2004, 10.522, de 19 de julho de 2002, 8.989, de 24 de fevereiro de 1995, 5.991, de 17 de dezembro de 1973, 10.451, de 10 de maio de 2002, e 11.051, de 29 de dezembro de 2004; e revoga dispositivos das Leis nºs 10.637, de 30 de dezembro de 2002, e 10.833, de 29 de dezembro de 2003"".",2012,,,,http://legis.senado.leg.br/dadosabertos/materia/textos/105628
30,VET 16/2012,,"Veto Parcial aposto ao Projeto de Lei da Câmara nº 30, de 2011 (nº 1.876/1999, na Casa de origem), que ""Dispõe sobre a proteção da vegetação nativa; altera as Leis nºs 6.938, de 31 de agosto de 1981, 9.393, de 19 de dezembro de 1996, e 11.428, de 22 de dezembro de 2006; revoga as Leis nºs 4.771, de 15 de setembro de 1965, e 7.754, de 14 de abril de 1989, e a Medida Provisória nº 2.166-67, de 24 de agosto de 2001; e dá outras providências"".",2012,,,,http://legis.senado.leg.br/dadosabertos/materia/textos/105800
31,VET 17/2012,,"Veto Parcial aposto ao Projeto de Lei da Câmara nº 10, de 2012 (nº 2.330/2011, na Casa de origem), que ""Dispõe sobre as medidas relativas à Copa das Confederações FIFA 2013, à Copa do Mundo FIFA 2014 e à Jornada Mundial da Juventude - 2013, que serão realizadas no Brasil; altera as Leis nºs 6.815, de 19 de agosto de 1980, e 10.671, de 15 de maio de 2003; estabelece concessão de prêmio e de auxílio especial mensal aos jogadores das seleções campeãs do mundo em 1958, 1962 e 1970"".",2012,,,,http://legis.senado.leg.br/dadosabertos/materia/textos/105994
32,VET 18/2012,,"Veto Parcial aposto ao Projeto de Lei do Senado nº 132, de 2011 (nº 1812/2011, na Câmara dos Deputados), que ""Dispõe sobre a venda de uniformes das Forças Armadas dos órgãos de segurança pública, das guardas municipais e de empresa de segurança privada"".",2012,,,,http://legis.senado.leg.br/dadosabertos/materia/textos/105996
33,PLS 236/2012,Direito penal e processual penal,Reforma do Código Penal Brasileiro.,2012,,,,http://legis.senado.leg.br/dadosabertos/materia/textos/106404
34,VET 25/2012,,"Veto Parcial aposto ao Projeto de Lei da Câmara nº 131, de 2008 (nº 4.622/2004, na Casa de origem), que ""Dispõe sobre a organização e o funcionamento das Cooperativas de Trabalho; institui o Programa Nacional de Fomento às Cooperativas de Trabalho - PRONACOOP; e revoga o parágrafo único do art. 442 da Consolidação das Leis do Trabalho - CLT, aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943"".",2012,,,,http://legis.senado.leg.br/dadosabertos/materia/textos/106637
35,PDS 476/2012,,"Aprova o ato que outorga permissão à EMPRESA DE RADIODIFUSÃO URSA MAIOR LTDA. para explorar serviço de radiodifusão sonora em frequência modulada na cidade de Arroio dos Ratos, Estado do Rio Grande do Sul.",2012,,,,http://legis.senado.leg.br/dadosabertos/materia/textos/106919
36,VET 34/2012,,"Veto Parcial aposto ao Projeto de Lei de Conversão nº 18, de 2012 (oriundo da Medida Provisória nº 563/2012), que ""Altera a alíquota das contribuições previdenciárias sobre a folha de salários devidas pelas empresas que especifica; institui o Programa de Incentivo à Inovação Tecnológica e Adensamento da Cadeia Produtiva de Veículos Automotores, o Regime Especial de Tributação do Programa Nacional de Banda Larga para Implantação de Redes de Telecomunicações, o Regime Especial de Incentivo a Computadores para Uso Educacional, o Programa Nacional de Apoio à Atenção Oncológica e o Programa Nacional de Apoio à Atenção da Saúde da Pessoa com Deficiência; restabelece o Programa Um Computador por Aluno; altera o Programa de Apoio ao Desenvolvimento Tecnológico da Indústria de Semicondutores, instituído pela Lei nº 11.484, de 31 de maio de 2007; altera as Leis nºs 9.250, de 26 de dezembro de 1995, 11.033, de 21 de dezembro de 2004, 9.430, de 27 de dezembro de 1996, 10.865, de 30 de abril de 2004, 11.774, de 17 de setembro de 2008, 12.546, de 14 de dezembro de 2011, 11.484, de 31 de maio de 2007, 10.637, de 30 de dezembro de 2002, 11.196, de 21 de novembro de 2005, 10.406, de 10 de janeiro de 2002, 9.532, de 10 de dezembro de 1997, 12.431, de 24 de junho de 2011, 12.414, de 9 de junho de 2011, 8.666, de 21 de junho de 1993, 10.925, de 23 de julho de 2004, os Decretos-Leis nºs 1.455, de 7 de abril de 1976, 1.593, de 21 de dezembro de 1977, e a Medida Provisória nº 2.199-14, de 24 de agosto de 2001; e dá outras providências"".",2012,,,,http://legis.senado.leg.br/dadosabertos/materia/textos/107431
37,VET 35/2012,,"Veto Parcial, aposto ao Projeto de Lei de Conversão nº 20, de 2012 (oriundo da Medida Provisória nº 565/2012), que ""Altera as Leis nºs 10.177, de 12 de janeiro de 2011, 7.827, de 27 de setembro de 1989, 11.524, de 24 de setembro de 2007, 11.775, de 17 de setembro de 2008, 9.469, de 10 de julho de 1997, 11.196, de 21 de novembro de 2005, 8.029, de 12 de abril de 1990, 10.954, de 29 de setembro de 2004 e 11.314, de 3 de julho de 2006; e dá outras providências"".",2012,,,,http://legis.senado.leg.br/dadosabertos/materia/textos/107478
38,VET 42/2012,,"Veto Parcial aposto ao Projeto de Lei do Senado nº 174, de 2006 (nº 1.472/2007, na Câmara dos Deputados), que ""Dispõe sobre as medidas de esclarecimento ao consumidor, de que trata o § 5º do artigo 150 da Constituição Federal; altera o inciso III do art. 6º e o inciso IV do art. 106 da Lei nº 8.078, de 11 de setembro de 1990 - Código de Defesa do Consumidor"".",2012,,,,http://legis.senado.leg.br/dadosabertos/materia/textos/109507
39,PDS 146/2013,,"Aprova o ato que outorga autorização à ASSOCIAÇÃO FELIZCIDADE para executar serviço de radiodifusão comunitária na cidade de Camaçari, Estado da Bahia.",2013,,,,http://legis.senado.leg.br/dadosabertos/materia/textos/113417
40,PDS 157/2013,,"Aprova o ato que outorga permissão à EMPRESA DE RADIODIFUSÃO ESTRELA DALVA LTDA. para explorar serviço de radiodifusão sonora em frequência modulada na cidade de Iguapé, Estado de São Paulo.",2013,,,,http://legis.senado.leg.br/dadosabertos/materia/textos/113542
41,PDS 253/2013,,"Aprova o ato que outorga autorização à ASSOCIAÇÃO COMUNITÁRIA DOS MORADORES DE LOURENÇO para executar serviço de radiodifusão comunitária na cidade de Calçoene, Estado do Amapá.",2013,,,,http://legis.senado.leg.br/dadosabertos/materia/textos/114801
42,PDS 297/2013,,"Aprova o ato que outorga autorização à ASSOCIAÇÃO COMUNITÁRIA MUNDO MELHOR DO MUNICÍPIO DE DUAS ESTRADAS para executar serviço de radiodifusão comunitária na cidade de Duas Estradas, Estado da Paraíba.",2013,,,,http://legis.senado.leg.br/dadosabertos/materia/textos/115025
43,PDS 454/2013,,"Aprova o ato que outorga permissão à SINAL BRASILEIRO DE COMUNICAÇÃO S/C LTDA. para explorar serviço de radiodifusão sonora em frequência modulada na cidade de Orlândia, Estado de São Paulo.",2013,,,,http://legis.senado.leg.br/dadosabertos/materia/textos/115842
44,PDS 57/2014,,"Aprova o ato que outorga autorização à Associação Comunitária de Radiodifusão do Grande Jatobá - ASCORAJ para executar serviço de radiodifusão comunitária na cidade de Patos, Estado da Paraíba.",2014,,,,http://legis.senado.leg.br/dadosabertos/materia/textos/117260
45,OFS 30/2014,,"Encaminha, nos termos do art. 222, § 5º, da Constituição Federal, o Comunicado de Alteração de Controle Societário de Empresa Jornalística e de Radiodifusão - CAC nº 12/2014, de que trata o PDC nº 2.458/2006, que comunica a transferência indireta, para outro grupo de cotistas, do controle societário da TELEVISÃO RIVIERA LTDA., concessionária de serviço de radiodifusão de sons e imagens, no município de Rio Verde, Estado de Goiás.",2014,,,,http://legis.senado.leg.br/dadosabertos/materia/textos/119176
46,OFS 32/2014,,"Encaminha, nos termos do art. 222, § 5º, da Constituição Federal, o Comunicado de Alteração de Controle Societário de Empresa Jornalística e de Radiodifusão - CAC nº 14/2014, de que trata o PDC nº 2.980/2003, que comunica a transferência indireta, para outro grupo de cotistas, do controle societário da TELEVISÃO ANHANGUERA DE ARAGUAÍNA LTDA., concessionária de serviço de radiodifusão de sons e imagens, no município de Araguaína, Estado do Tocantins.",2014,,,,http://legis.senado.leg.br/dadosabertos/materia/textos/119178
47,OFS 40/2014,,"Encaminha, nos termos do art. 222, § 5º, da Constituição Federal, o Comunicado de Alteração de Controle Societário de Empresa Jornalística e de Radiodifusão - CAC nº 22/2014, que comunica a transferência indireta, para outro grupo de cotistas, do controle societário da TELEVISÃO NORTE BAIANO LTDA., concessionária de serviço de radiodifusão de sons e imagens, no município de Juazeiro, Estado da Bahia.",2014,,,,http://legis.senado.leg.br/dadosabertos/materia/textos/119187
48,OFS 43/2014,,"Encaminha, nos termos do art. 222, § 5º, da Constituição Federal, o Comunicado de Alteração de Controle Societário de Empresa Jornalística e de Radiodifusão - CAC nº 25/2014, que comunica a transferência indireta, para outro grupo de cotistas, do controle societário da TELEVISÃO SANTA CRUZ LTDA., concessionária de serviço de radiodifusão de sons e imagens, no município de Itabuna, Estado da Bahia.",2014,,,,http://legis.senado.leg.br/dadosabertos/materia/textos/119190
